Genomic and Positional Features,Amino Acid Substitution and Structural Impact Features,Protein Interaction and 3D Structural Features,Contextual and Functional Impact Features
changecDNA_EFF,ALT,betweennessWeighted_node,am_class
CHROM,aminAfter,Bfactor_CA_RING,am_pathogenicity
COMMON,aminAfterEssential,clusteringCoef_node,dbNSFP_Aloft_pred
db_align_beg,aminBefore,Degree_RING,dbNSFP_BayesDel_addAF_pred
db_align_end,aminBeforeEssential,Dssp_RING,dbNSFP_BayesDel_noAF_pred
db_name,Blosum62,Inter_HBOND_Res_tot,dbNSFP_ClinPred_pred
dbNSFP_ExAC_AF,Changepr_F,Inter_IAC_Lig_tot,dbNSFP_DEOGEN2_pred
dbNSFP_gnomAD_exomes_AF,changeProt_am,Inter_IONIC_Res_tot,dbNSFP_FATHMM_pred
Exon_EFF,essencialChange,Inter_Lig_tot,dbNSFP_fathmmMKL_coding_pred
Gene_EFF,groupAfter,Inter_PICATION_Res_tot,dbNSFP_fathmmXF_coding_pred
pdbx_align_begin,groupBefore,Inter_PIPISTACK_Res_tot,dbNSFP_LISTS2_pred
pdbx_auth_seq_align_beg,groupChange,Inter_Res_tot,dbNSFP_LRT_pred
pdbx_auth_seq_align_end,REF,Inter_SSBOND_Res_tot,dbNSFP_MCAP_pred
Point_Mutation_EFF,substitution,Inter_VDW_Lig_tot,dbNSFP_MetaLR_pred
POS,,Inter_VDW_Res_tot,dbNSFP_MetaSVM_pred
Pos_Point_Mutation_EFF,,len_seq,dbNSFP_MutationAssessor_pred
poschangecDNA_EFF,,NodeId_RING,dbNSFP_MutationTaster_pred
poschangeProt,,PDB_id,dbNSFP_Polyphen2_HDIV_pred
RefSeq_EFF,,pdbx_strand_id,dbNSFP_Polyphen2_HVAR_pred
seq_align_beg,,Resolution,dbNSFP_PrimateAI_pred
seq_align_end,,triangles_node,dbNSFP_PROVEAN_pred
SNP_ID_COMMON,,,dbNSFP_SIFT_pred
Swiss-Prot,,,dbNSFP_SIFT4G_pred
Uniprot_id,,,Deleterious
,,,Deleterious10
,,,Deleterious11
,,,Deleterious5
,,,Interpro_domain
,,,Ndamage
,,,NdamageCalc
,,,PolyPhen2_Dam_pred
,,,Risk_Mut_EFF
,,,Tissue
,,,typechangecDNA_EFF
,,,typechangeProt
,,,VariantEffect_EFF
